topology,node,node_type,is_attacker,global_det_30,global_det_50,pertopo_det_30,pertopo_det_50,global_fpr_30,global_fpr_50,pertopo_fpr_30,pertopo_fpr_50
dumbbell,r1,router,False,0.9869646182495344,0.9869646182495344,0.2085661080074488,0.9869646182495344,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
dumbbell,r2,router,False,0.9869646182495344,0.9869646182495344,0.16201117318435754,0.9869646182495344,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
dumbbell,r3,router,False,0.9869646182495344,0.9869646182495344,0.18994413407821228,0.9869646182495344,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
dumbbell,r4,router,False,0.00931098696461825,0.020484171322160148,0.0074487895716946,0.020484171322160148,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
dumbbell,bottleneck,bottleneck,False,0.9869646182495344,0.9869646182495344,0.15456238361266295,0.9869646182495344,0.008587534903324376,0.040356145619303514,0.01001001001001001,0.04046151414572467
dfn,c1,consumer,True,0.9667221297836939,0.9683860232945092,0.9667221297836939,0.9683860232945092,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,c2,consumer,False,0.013311148086522463,0.05490848585690516,0.009983361064891847,0.04159733777038269,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,c3,consumer,False,0.008319467554076539,0.03494176372712146,0.004991680532445923,0.02329450915141431,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,c4,consumer,False,0.009983361064891847,0.04326123128119801,0.004991680532445923,0.033277870216306155,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,c5,consumer,False,0.021630615640599003,0.05823627287853577,0.016638935108153077,0.04326123128119801,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,c6,consumer,False,0.019966722129783693,0.07321131447587355,0.011647254575707155,0.05823627287853577,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,p1,producer,False,0.025,0.465,0.075,0.97,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,p2,producer,False,0.008333333333333333,0.023333333333333334,0.006666666666666667,0.023333333333333334,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,r1,router,False,0.9666666666666667,0.97,0.9666666666666667,0.97,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,r2,router,False,0.9683333333333334,0.97,0.9683333333333334,0.97,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,r3,router,False,0.013333333333333334,0.08833333333333333,0.008333333333333333,0.07166666666666667,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
dfn,r4,router,False,0.013333333333333334,0.07666666666666666,0.0033333333333333335,0.06,0.01621175499616813,0.06355007958497907,0.010021812179449389,0.04816365029770677
