node,timestamp,pit_size,pit_growth_rate,cs_size,cache_hit_ratio,satisfaction_ratio,unsatisfied_ratio,in_interests_rate,out_interests_rate,in_data_rate,nack_rate,raw_score,norm_score,anom_30,anom_50,topology,model
p1,2026-05-27 11:30:26.116889,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.933419599563988,1.986683919912798,1.986683919912798,6.622279733042659,0.11037739529766999,53.9855495870067,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:29.131638,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,10.282779760437768,2.3219180104214314,1.990215437504084,6.6340514583469465,0.09516272793940761,50.67932771624004,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:32.146874,3.0,0.0,252.0,0.0,0.24,0.76,9.949469958570408,2.321542990333095,1.9898939917140817,6.301330973761258,0.09477457782449306,50.59498079173274,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:35.161586,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.951199318541871,1.9902398637083742,2.32194650765977,6.634132879027914,0.09656306432516126,50.98362768389558,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:38.176830,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.949443560786458,1.9898887121572915,1.6582405934644096,6.632962373857638,0.09340650321322008,50.29769146597071,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:41.191974,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.949773543154159,1.9899547086308316,2.3216138267359705,6.633182362102772,0.09656306432516126,50.98362768389558,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:44.220233,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.906682354448547,1.9813364708897094,1.9813364708897094,6.604454902965698,0.11595965280027487,55.198601532788544,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:47.236005,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.947701616700467,1.9895403233400932,1.6579502694500776,6.6318010778003105,0.09321186676358206,50.2553960104416,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:50.263378,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.909581673616037,1.9819163347232074,2.3122357238437417,6.606387782410691,0.10168888379782215,52.09749340616587,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:53.278810,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.948823253185612,1.9897646506371225,1.6581372088642687,6.632548835457075,0.09340650321322008,50.29769146597071,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:56.294240,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.9488298517956,1.9897659703591197,1.9897659703591197,6.632553234530399,0.10917609161961461,53.724500403327895,False,False,dumbbell,per_topo
p1,2026-05-27 11:30:59.312997,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,10.269127326247194,2.318835202700979,2.318835202700979,6.625243436288512,0.08927138726944295,49.39911048161238,False,True,dumbbell,per_topo
p1,2026-05-27 11:31:02.328176,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,10.281313315063551,2.3215868775949953,1.6582763411392825,6.63310536455713,0.07189897615711771,45.62400030568545,False,True,dumbbell,per_topo
p1,2026-05-27 11:31:05.344391,3.0,0.0,252.0,0.0,0.25925925925925924,0.7407407407407407,10.277781922044682,2.320789466268154,2.320789466268154,6.63082704648044,0.08980992403262422,49.51613716269029,False,True,dumbbell,per_topo
p1,2026-05-27 11:31:08.360564,3.0,0.0,252.0,0.0,0.23076923076923078,0.7692307692307693,9.946379070431304,1.9892758140862608,1.9892758140862608,6.630919380287536,0.10978282165355047,53.85634581674473,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:11.383413,3.0,0.0,253.0,0.0,0.25925925925925924,0.7407407407407407,10.25522611284917,2.3156962190304577,2.6465099646062376,6.616274911515593,0.07702616003561269,46.738162520038216,False,True,dumbbell,per_topo
p1,2026-05-27 11:31:14.398937,3.0,0.0,253.0,0.0,0.24,0.76,9.616902402368543,1.9897039453176297,1.9897039453176297,6.3007291601724935,0.11088113553375856,54.09501481201123,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:17.413573,3.0,0.0,254.0,0.0,0.25925925925925924,0.7407407407407407,10.283165198053762,2.3220050447218172,1.9902900383329862,6.634300127776621,0.09612581563742628,50.88861139860241,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:20.428908,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.9491432958527,1.98982865917054,1.98982865917054,6.632762197235134,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:23.444037,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.949823042397192,1.9899646084794382,2.3216253765593446,6.633215361598127,0.09752380039515951,51.192400345950375,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:26.460453,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.94557779828777,1.9891155596575538,1.9891155596575538,6.630385198858513,0.11072135737792321,54.060294234764655,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:29.476278,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,10.279111022688651,2.321089585768405,1.9895053592300613,6.631684530766871,0.09612581563742628,50.88861139860241,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:32.491566,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,10.28094165466118,2.321502954278331,1.6582163959130936,6.632865583652374,0.07189897615711771,45.62400030568545,False,True,dumbbell,per_topo
p1,2026-05-27 11:31:35.506829,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.949380866610973,1.9898761733221944,2.321522202209227,6.632920577740648,0.09752380039515951,51.192400345950375,False,False,dumbbell,per_topo
