node,pit_size,pit_growth_rate,cs_size,cache_hit_ratio,satisfaction_ratio,unsatisfied_ratio,in_interests_rate,out_interests_rate,in_data_rate,nack_rate,topology,raw_score,norm_score,anom_30,anom_50
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.920997504055661,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.911691679239912,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.914084328168656,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,248,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.906579691651162,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.881123723322698,tree,-0.07911872053886415,11.512150222571233,True,True
c1,4,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.868985251775102,tree,-0.07911872053886415,11.512150222571233,True,True
c1,3,-0.19874923765908206,248,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.90963563958465,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.917599418389702,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.919051610882722,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.9205855022278,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.906590505614663,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.866666008080848,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,248,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.859194257658075,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,249,0.0,0.7317073170731707,0.2682926829268293,15.544010126411878,7.879612883915501,8.224937000194302,10.87026877727758,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,249,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.841593477697364,tree,-0.07911872053886415,11.512150222571233,True,True
c1,3,-0.19874923765908206,249,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.908453761706877,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,249,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.854538331815343,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,249,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.90925139229321,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,249,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.920368671646354,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,249,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.905201086951132,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,250,0.0,0.7317073170731707,0.2682926829268293,15.544010126411878,7.879612883915501,8.224937000194302,10.924321761000668,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.918563891217355,tree,-0.07911872053886415,11.512150222571233,True,True
c1,4,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.90477946570546,tree,-0.07911872053886415,11.512150222571233,True,True
c1,3,-0.19874923765908206,250,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.91149166121137,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.914241348603348,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.86733698377062,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.908559004147731,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.854597242636267,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,250,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.902196396130314,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.917377288679274,tree,-0.07911872053886415,11.512150222571233,True,True
c1,3,-0.19874923765908206,250,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.883711936842031,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.883486831722989,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.919501435418098,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.917193090409246,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.908202025851448,tree,-0.041969519729284976,20.192887717329704,True,True
c1,4,0.19870723347972596,250,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.917832393407219,tree,-0.11815754379184085,2.389860391884497,True,True
c1,4,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.909765330947732,tree,-0.07911872053886415,11.512150222571233,True,True
c1,4,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.922060178565754,tree,-0.07911872053886415,11.512150222571233,True,True
c1,3,-0.19874923765908206,250,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.886230940552501,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.910549856997406,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.91831462910237,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.907888336938722,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,250,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.911496849057297,tree,-0.041969519729284976,20.192887717329704,True,True
c1,3,0.0,251,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.910896166456633,tree,-0.041511581743810755,20.29989511867749,True,True
c1,4,0.19870723347972596,251,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.909262211555388,tree,-0.11764807546624068,2.5089090039690087,True,True
c1,4,0.0,251,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.918639755859216,tree,-0.07863565641346593,11.62502890567431,True,True
c1,4,0.0,251,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.912866219669052,tree,-0.07863565641346593,11.62502890567431,True,True
c1,3,-0.19874923765908206,251,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.91094188750711,tree,-0.08892986824284932,9.21955722232999,True,True
c1,3,0.0,251,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.91964777187069,tree,-0.041511581743810755,20.29989511867749,True,True
c1,3,0.0,251,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.917924502552063,tree,-0.041511581743810755,20.29989511867749,True,True
c1,3,0.0,252,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.914100571452385,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.920433719916687,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.871300113605086,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.905330823124457,tree,-0.04219860493619454,20.139356860628162,True,True
c1,4,0.19870723347972596,252,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.878998340952753,tree,-0.11764807546624068,2.5089090039690087,True,True
c1,4,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.866601598773457,tree,-0.07960211160942976,11.399195141453895,True,True
c1,4,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.899263556578324,tree,-0.07960211160942976,11.399195141453895,True,True
c1,3,-0.19874923765908206,252,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.914022456939497,tree,-0.08966503970904194,9.047768048604098,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.889304772336809,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.910181927283636,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.86551212368904,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.908164165887394,tree,-0.04219860493619454,20.139356860628162,True,True
c1,4,0.19870723347972596,252,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.914566232812659,tree,-0.11764807546624068,2.5089090039690087,True,True
c1,4,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.87396530513088,tree,-0.07960211160942976,11.399195141453895,True,True
c1,3,-0.19874923765908206,252,0.0,0.7073170731707317,0.2926829268292683,15.544010126411878,7.879612883915501,8.224937000194302,11.909357877196657,tree,-0.08966503970904194,9.047768048604098,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.899355352673414,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.922613284876649,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.903914703631598,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.913634949824564,tree,-0.04219860493619454,20.139356860628162,True,True
c1,3,0.0,252,0.0,0.717948717948718,0.28205128205128205,15.544010126411878,7.879612883915501,8.224937000194302,10.921480019400521,tree,-0.04219860493619454,20.139356860628162,True,True
c1,4,0.19870723347972596,252,0.0,0.725,0.275,15.544010126411878,7.879612883915501,8.224937000194302,10.918303791877278,tree,-0.11764807546624068,2.5089090039690087,True,True
