topology,scenario,rate,run,Node,role,InInterests_pre,OutInterests_pre,InData_pre,cache_hit_ratio_pre,satisfaction_ratio_pre,timeout_ratio_pre,nack_ratio_pre,interest_amp_pre,data_ratio_pre,InInterests_atk,OutInterests_atk,InData_atk,cache_hit_ratio_atk,satisfaction_ratio_atk,timeout_ratio_atk,nack_ratio_atk,interest_amp_atk,data_ratio_atk
tree,ifa,10.0,4,6,attacker,9.988333299999999,0.33000003873917744,0.3333334054058441,0.9654545454545455,0.034494621335257866,0.0013333333333333335,0.0,0.033984334997832974,1.0,19.99498320735786,9.994983277591974,4.299498315087334e-145,0.49924793403054274,0.0008805078060396717,0.49675652037362217,0.0,0.4998679255849763,4.7861416854811335e-146
tree,ifa,10.0,4,7,benign_consumer,9.988333299999999,0.33000000530612117,0.33333337197278784,0.9653636363636364,0.03466678721468296,0.0013333333333333335,0.0,0.03378613050688771,1.0,10.0,1.7197992043850463e-146,1.7197992043850463e-146,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,1.7197992043850463e-147,0.862876254180602
tree,ifa,10.0,4,8,benign_consumer,9.988333299999999,0.3299999678731657,0.3333332678731657,0.9654242424242424,0.03449445255118621,0.0013333333333333335,0.0,0.03404067005557257,1.0,10.0,2.9833854849838197e-105,2.9833854849838197e-105,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,2.98338548498382e-106,1.0
tree,ifa,10.0,4,9,benign_consumer,9.988333299999999,0.3299999793278873,0.3333332793278873,0.9654545454545455,0.03454157615246955,0.0013333333333333335,0.0,0.03396134016476163,1.0,10.0,3.3589849080266287e-140,3.3589849080266287e-140,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.358984908026629e-141,0.8929765886287625
tree,ifa,10.0,4,10,benign_consumer,9.988333299999999,0.3300000117305001,0.33333334506383344,0.9654545454545455,0.03424387103825046,0.0013333333333333335,0.0,0.03410395840423259,1.0,10.0,1.408859160494607e-155,1.408859160494607e-155,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,1.4088591604946069e-156,0.8193979933110368
tree,ifa,10.0,4,11,benign_consumer,9.988333299999999,0.3299999119432314,0.3333332786098981,0.9654545454545455,0.034330811354873404,0.0013333333333333335,0.0,0.03412093907056583,1.0,10.0,5.503348198290602e-150,5.503348198290602e-150,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,5.503348198290602e-151,0.8461538461538461
tree,ifa,10.0,5,0,router,0.33333331195874366,0.33333331195874366,0.33333331195874366,0.0,1.0,0.8033333333333333,0.0,1.0,1.0,9.978260903010034,9.978260903010034,5.0759611288887537e-194,0.0,0.00041626896755085673,0.9927311625010604,0.0,1.0,6.317765696672396e-195
tree,ifa,10.0,5,1,router,0.013333333333334588,0.013333333333334588,0.013333333333334588,0.0,1.0,0.8,0.0,1.0,1.0,0.013377926421278847,0.013377926421278847,2.1801037207277136e-211,0.0,0.005364925009367448,0.9909713474930866,0.0,1.0,0.0033444816053511705
tree,ifa,10.0,5,2,router,0.6699999806420528,0.34666664529207825,0.34666664529207825,0.06726609961057595,0.026372092143564743,0.8,0.0,0.026151116652053608,1.0,9.991638762541806,9.991638829431313,5.0759611288887537e-194,0.0,0.0004036573292333082,0.9922674745252075,0.0,1.0000000066889683,6.126357330463063e-195
tree,ifa,10.0,5,3,router,1.000000006970829,0.336666610799579,0.333333310799579,0.16390117072470015,0.021428663858163725,0.6166688832684428,0.0,0.02102897002855987,0.999820826917036,9.991638762541806,9.991638762541806,1.5862370409289424e-190,0.0,0.0004036573292333082,0.9922674745252075,0.0,1.0,1.9144857321920987e-191
